waste_type,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate,year
Non-ferrous Metals,12400,73100,85500,0.85,2010
Used Slag,3800,378900,382700,0.99,2010
Sludge,114400,0,114400,0.00,2010
Glass,60700,19200,79900,0.24,2010
Textile/Leather,106200,14700,120900,0.12,2010
Scrap Tyres,4000,20000,24000,0.83,2010
"Others (stones, ceramics & rubber etc)",303600,3800,307400,0.01,2010
Total,2759500,3757500,6517000,0.58,2010
Food waste,529400,76700,606100,0.13,2009
Paper/Cardboard,626800,574200,1201000,0.48,2009
Plastics,628600,60300,688900,0.09,2009
Construction Debris,25100,1150700,1175800,0.98,2009
Wood/Timber,80200,207400,287600,0.72,2009
Horticultural Waste,144600,93500,238100,0.39,2009
Ferrous Metal,65800,806200,872000,0.92,2009
Non-ferrous Metals,10100,47500,57600,0.82,2009
Used Slag,3800,418600,422400,0.99,2009
Sludge,88900,0,88900,0.00,2009
Glass,57500,15600,73100,0.21,2009
Textile/Leather,96500,12600,109100,0.12,2009
Scrap Tyres,3900,18700,22600,0.83,2009
"Others (stones, ceramics & rubber etc)",267700,3200,270900,0.01,2009
Total,2628900,3485200,6114100,0.57,2009
Food waste,500000,68000,568000,0.12,2008
Paper/Cardboard,653900,608600,1262500,0.48,2008
Plastics,623200,61200,684400,0.09,2008
Construction Debris,22000,900000,922000,0.98,2008
Wood/Timber,79400,190200,269600,0.71,2008
Horticultural Waste,133300,96000,229300,0.42,2008
Ferrous Metal,49800,735000,784800,0.94,2008
Non-ferrous Metals,13000,72000,85000,0.85,2008
Used Slag,5700,560500,566200,0.99,2008
Sludge,114600,0,114600,0.00,2008
Glass,47100,10000,57100,0.18,2008
Textile/Leather,82300,11000,93300,0.12,2008
Scrap Tyres,3000,22100,25100,0.88,2008
"Others (stones, ceramics & rubber etc)",300300,8000,308300,0.03,2008
Total,2627600,3342600,5970200,0.56,2008
Food waste,507700,51200,558900,0.09,2007
Paper/Cardboard,583900,619000,1202900,0.51,2007
Plastics,584800,75000,659800,0.11,2007
Construction Debris,19000,759300,778300,0.98,2007
Wood/Timber,118400,127800,246200,0.52,2007
Horticultural Waste,133500,91100,224600,0.41,2007
Ferrous Metal,68500,668000,736500,0.91,2007
Non-ferrous Metals,16700,75600,92300,0.82,2007
Used Slag,7200,520000,527200,0.99,2007
Sludge,124600,0,124600,0.00,2007
Glass,59500,5800,65300,0.09,2007
Textile/Leather,104100,6000,110100,0.05,2007
Scrap Tyres,3500,22000,25500,0.86,2007
"Others (stones, ceramics & rubber etc)",234600,14000,248600,0.06,2007
Total,2566000,3034800,5600800,0.54,2007
Food waste,498000,44700,542700,0.08,2006
Paper/Cardboard,544900,571400,1116300,0.51,2006
Plastics,579000,77800,656800,0.12,2006
Construction Debris,15000,604000,619000,0.98,2006
Wood/Timber,142000,81700,223700,0.37,2006
Horticultural Waste,144000,87000,231000,0.38,2006
Ferrous Metals,68500,657400,725900,0.91,2006
Non-ferrous Metals,16000,70700,86700,0.82,2006
Used Slag,53600,417000,470600,0.89,2006
Sludge,126800,0,126800,0.00,2006
Glass,56600,6400,63000,0.10,2006
Textile/Leather,87700,4100,91800,0.04,2006
Scrap Tyres,4500,19400,23900,0.81,2006
"Others (stones, ceramics & rubber etc)",227000,15300,242300,0.06,2006
Total,2563600,2656900,5220500,0.51,2006
Food waste,495000,36500,531500,0.07,2005
Paper/Cardboard,558100,540500,1098600,0.49,2005
Plastics,588800,86000,674800,0.13,2005
Construction Debris,27200,465300,492500,0.94,2005
Wood/Timber,149300,90000,239300,0.38,2005
Horticultural Waste,98500,101000,199500,0.51,2005
Ferrous Metals,69200,749100,818300,0.92,2005
Non-ferrous Metals,14700,74700,89400,0.84,2005
Used Slag,83500,298900,382400,0.78,2005
Sludge,98300,0,98300,0.00,2005
Glass,58800,3800,62600,0.06,2005
Textile/Leather,85000,4000.00,89000,0.04,2005
Scrap Tyres,6000,10800,16800,0.64,2005
"Others (stones, ceramics & rubber etc)",216400,8800,225200,0.04,2005
Total,2548800,2469400,5018200,0.49,2005
Food waste,500000,31100,531100,0.06,2004
Paper/Cardboard,612200,519900,1132100,0.46,2004
Plastics,609000,74100,683100,0.11,2004
Construction Debris,38000,471000,509000,0.93,2004
Wood/Timber,148600,73700,222300,0.33,2004
Horticultural Waste,99100,127900,227000,0.56,2004
Ferrous Metals,70300,649900,720200,0.90,2004
Non-ferrous Metals,15100,71800,86900,0.83,2004
Used Slag,7600,259600,267200,0.97,2004
Sludge,93900,0,93900,0.00,2004
Glass,68700,4900,73600,0.07,2004
Textile/Leather,109500,5000,114500,0.04,2004
Scrap Tyres,7500,7200,14700,0.49,2004
Others,103100,11000,114100,0.10,2004
Total,2482600,2307100,4789700,0.48,2004
Food waste,515100,32900,548000,0.06,2003
Paper/Cardboard,618500,466200,1084700,0.43,2003
Plastics,540800,39100,579900,0.07,2003
Construction Debris,24600,398300,422900,0.94,2003
Wood/Timber,172600,40800,213400,0.19,2003
Horticultural Waste,185300,119300,304600,0.39,2003
Ferrous Metals,57700,799000,856700,0.93,2003
Non-ferrous Metals,18100,75800,93900,0.81,2003
Used Slag,21800,238500,260300,0.92,2003
Sludge,88500,0,88500,0.00,2003
Glass,59300,6200,65500,0.09,2003
Textile/Leather,90700,900,91600,0.01,2003
Scrap Tyres,8200,6200,14400,0.43,2003
"Others (stones, ceramics & rubber etc)",103800,0,103800,0.00,2003
Total,2505000,2223200,4728200,0.47,2003
Construction debris,9400,1599900,1609300,0.99,2017
Ferrous metal,7800,1371000,1378800,0.99,2017
Used slag,3100,269400,272500,0.99,2017
Non-ferrous metals,1500,92200,93700,0.98,2017
Scrap tyres,2900,33000,35900,0.92,2017
Wood,97300,326800,424100,0.77,2017
Horticultural waste,107600,220700,328300,0.67,2017
Paper/Cardboard,576000,568800,1144800,0.50,2017
Glass,58900,12400,71300,0.17,2017
Food,676800,133000,809800,0.16,2017
Ash and sludge,214800,28600,243400,0.12,2017
Plastic,763400,51800,815200,0.06,2017
Textile/Leather,141200,9600,150800,0.06,2017
"Others (stones, ceramic, rubber, etc.)",319300,7100,326400,0.02,2017
Total,2980000,4724300,7704300,0.61,2017
