SKU,name,orderedQuantity,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude
GGOEGAWC061949, Infant Short Sleeve Tee Royal Blue,2,2,5,0.4,0.7
GGOEAAAJ032917,Android Men's Long & Lean Badge Tee Charcoal,20,30,5,0.4,0.7
9181151,Gift Card - $50.00,0,0,5,0.4,0.7
GGOEGADJ056816, Men's Watershed Full Zip Hoodie Grey,13,25,5,0.9,1.4
GGOEGBRJ037399, Rucksack,212,228,5,0.0,0.1
GGOEGOLC014299, Metallic Notebook Set,2718,610,5,0.0,0.1
9180808,Basecamp Explorer Powerbank Flashlight,0,0,5,0.0,0.1
GGOEGAAJ057016, Men's Short Sleeve Performance Badge Tee Charcoal,29,30,5,0.0,0.1
GGOEGAWR061148, Onesie Red,2,2,5,0.1,0.2
GGOEGAAL059013, Men's Short Sleeve Performance Badge Tee Navy,18,19,5,0.1,0.2
GGOEAAXJ066255,Android Toddler Short Sleeve T-shirt Pewter,16,17,5,0.0,0.2
GGOEGAAL010616, Men's 100% Cotton Short Sleeve Hero Tee Navy,44,50,5,0.1,0.2
GGOEGAAX0098,"7"" Dog Frisbee",197,376,5,-0.6,0.2
GGOEYAEJ029514, Women's Short Sleeve Tri-blend Badge Tee Charcoal,81,88,5,0.0,0.2
GGOEAAEJ028213,Android Women's Short Sleeve Badge Tee Dark Heather,6,6,5,0.1,0.2
GGOEGHGR019499, Sunglasses,1046,1195,5,0.4,0.2
GGOEAAAB034914,Android BTTF Moonshot Graphic Tee,10,12,5,0.2,0.4
GGOEGALJ073317, Women's Short Sleeve Hero Tee Heather,1,1,5,0.2,0.4
GGOEGALJ073313, Women's Short Sleeve Hero Tee Heather,1,1,5,0.2,0.4
GGOEGAAQ010416, Men's 100% Cotton Short Sleeve Hero Tee White,9,11,5,0.2,0.4
9180833,Rubber Grip Ballpoint Pen 4 Pack,0,0,5,0.2,0.4
GGOEGAEJ029915, Women's V-Neck Tee Charcoal,3,3,5,0.2,0.4
GGOEAKDH019899,Windup Android,1351,1674,5,0.4,0.4
GGOEGOFH020299, Screen Cleaning Cloth,844,1324,5,0.7,0.8
GGOEGAWR061048, Onesie Red/Graphite,20,31,5,0.5,0.8
GGOEGAAJ032614, Men's Short Sleeve Badge Tee Charcoal,62,97,5,0.5,0.8
9180814,Micro Wireless Earbud,0,0,5,0.5,0.8
GGOEGAXC065655, Toddler Hoodie Royal Blue,30,47,5,0.5,0.8
9183240,25L Classic Rucksack,0,0,5,0.7,1.1
GGOEGAAX0344, Women's Vintage Hero Tee Platinum,32,34,5,-0.5,1.1
GGOEGADJ059814, Men's Convertible Vest-Jacket Pewter,5,8,5,0.7,1.1
GGOEAHPJ074410,Android Twill Cap,91,161,5,0.7,1.1
9182721, Men's 100% Cotton Short Sleeve Hero Tee Black,0,0,5,0.7,1.1
GGOEGAER035515, Men's Vintage Tank,23,41,5,0.7,1.1
9182873,Android Toddler Short Sleeve T-shirt Pink,0,0,5,0.7,1.1
GGOEGAXQ067129, Toddler Short Sleeve Tee White,7,12,5,0.7,1.1
GGOEGAAJ032316, Men's Short Sleeve Hero Tee Charcoal,59,98,5,0.6,0.9
GGOEGFKQ020799, Doodle Decal,1290,2080,5,0.5,0.9
GGOEGAAJ080615, Men's Bike Short Sleeve Tee Charcoal,78,129,5,0.6,0.9
GGOEGALJ060114, Women's Short Sleeve Performance Tee Pewter,27,44,5,0.6,0.9
GGOEGAEJ030816, Women's Long Sleeve Blended Cardigan Charcoal,9,14,5,0.6,0.9
9181138, Rucksack,0,0,5,0.6,0.9
GGOEGAAJ032813, Men's Long & Lean Tee Charcoal,52,85,5,0.6,0.9
GGOEGAWH061348, Onesie Green,67,110,5,0.6,0.9
GGOEGALJ036416, Women's Tee Grey,7,11,5,0.5,0.9
GGOEGADC059317, Men's Airflow 1/4 Zip Pullover Lapis,2,3,5,0.6,0.9
GGOEGAAX0037, Sunglasses,4204,6805,5,0.5,0.9
GGOEGHPB071610, Twill Cap,917,1755,5,0.8,1.3
GGOEGATJ060516, Women's Quilted Insulated Vest White,3,5,5,0.8,1.3
GGOEGCVB072399, Executive Umbrella,242,458,5,0.6,1.3
GGOEGAAX0655, Toddler Short Sleeve T-shirt Grey,65,123,5,0.8,1.3
GGOEGPJR018999,"7"" Dog Frisbee",168,324,5,0.6,1.3
GGOEAAYJ068856,Android Youth Short Sleeve T-shirt Pewter,3,5,5,0.8,1.3
GGOEWAEA083899, Dress Socks,15,20,6,0.3,0.5
GGOEGHGH019699, Sunglasses,1573,2086,6,0.5,0.5
9183118, Women's Fleece Hoodie Black,0,0,6,0.3,0.5
9180850,Ballpoint Stylus Pen,0,0,6,0.3,0.5
GGOEGAAX0365, Women's Scoop Neck Tee Black,65,73,6,0.0,0.5
GGOEGAXJ065555, Toddler Short Sleeve T-shirt Grey,56,93,6,0.6,1.0
GGOEGAAJ032615, Men's Short Sleeve Badge Tee Charcoal,63,105,6,0.6,1.0
GGOEGAEJ028013, Women's Short Sleeve Hero Tee Grey,70,117,6,0.6,1.0
9182750, Men's Performance 1/4 Zip Pullover Heather/Black,0,0,6,0.6,1.0
GGOEGBJC014399, Tote Bag,92,155,6,0.6,1.0
GGOEAAEJ028215,Android Women's Short Sleeve Badge Tee Dark Heather,3,5,6,0.6,1.0
GGOEGAAH034015, Men's Vintage Badge Tee Sage,226,390,6,0.6,1.0
GGOEGAAX0795,25L Classic Rucksack,66,114,6,0.7,1.0
GGOEGAAX0617,Android Onesie Gold,31,53,6,0.6,1.0
GGOEGAPB057812,Women's Performance Full Zip Jacket Black,8,9,6,0.1,0.3
GGOEGAAX0318, Men's Short Sleeve Hero Tee Black,151,275,6,-0.1,0.3
GGOEAAWT061749,Android Onesie Gold,7,8,6,0.2,0.3
GGOEGAWR061053, Onesie Red/Graphite,12,14,6,0.1,0.3
GGOEGAAX0327, Men's Long & Lean Tee Grey,3,5,6,-0.1,0.3
GGOEGAAX0586, Women's Yoga Jacket Black,23,33,6,-0.3,0.3
9180770,Yoga Mat Blue,0,0,6,0.1,0.3
GGOEGALQ034213, Women's Vintage Hero Tee White,78,94,6,0.2,0.3
9182771, Women's 1/4 Zip Jacket Charcoal,0,0,6,0.4,0.6
GGOEWAAJ083513, Men's Typography Short Sleeve Tee,1,1,6,0.3,0.6
GGOEGAYQ069024, Youth Short Sleeve Tee White,4,5,6,0.3,0.6
GGOEGAAB058918, Men's Short Sleeve Performance Badge Tee Black,2,2,6,0.4,0.6
GGOEAXXX0810,Android Men's Outerstellar Short Sleeve Tee Black,2,3,6,0.0,0.6
GGOEGHPJ080310, Blackout Cap,299,415,6,0.3,0.6
GGOEGAEQ027916, Women's Short Sleeve Hero Tee White,14,19,6,0.3,0.6
GGOEGAAX0664,Android Toddler Short Sleeve T-shirt Aqua,12,16,6,0.3,0.6
GGOEGADB056916, Men's Performance Full Zip Jacket Black,15,27,6,0.7,1.2
GGOEGADB057316, Men's Lightweight Microfleece Jacket Black,5,9,6,0.7,1.2
GGOEGAAX0686, Youth Short Sleeve Tee Red,22,40,6,0.7,1.2
GGOEAAEJ035716,Android Men's Vintage Tank,5,9,6,0.7,1.2
GGOEGPXC023299, Collapsible Pet Bowl,27,50,6,0.4,1.2
GGOEYAAB031813, Men's Short Sleeve Hero Tee Black,15,27,6,0.7,1.2
GGOEAAAJ080814,Android Men's Engineer Short Sleeve Tee Charcoal,12,22,6,0.8,1.2
GGOEGALQ034217, Women's Vintage Hero Tee White,13,19,6,0.4,0.7
GGOEGAYQ069056, Youth Short Sleeve Tee White,10,14,6,0.4,0.7
GGOEWFKA083299, Mood Ninja Window Decal,48,94,6,0.9,1.4
GGOEGAQB036016, Women's Fleece Hoodie,6,11,6,0.9,1.4
GGOEAAYC068724,Android Youth Short Sleeve T-shirt Aqua,25,28,6,0.1,0.2
GGOEAAAJ032413,Android Men's Short Sleeve Tri-blend Hero Tee Grey,11,12,6,0.1,0.2
GGOEGEVR014999, Water Resistant Bluetooth Speaker,183,205,6,0.6,0.2
GGOEGAPC058812, Women's Shell Jacket Blue/Black,7,7,6,0.1,0.2
GGOEGAAX0679, Youth Girl Tee Green,14,15,6,0.0,0.2
GGOEYAEJ029516, Women's Short Sleeve Tri-blend Badge Tee Charcoal,20,22,6,0.1,0.2
GGOEGHPA003010, Wool Heather Cap Heather/Navy,0,0,6,0.1,0.2
9182709,Android Women's Long Sleeve Blended Cardigan Grey,0,0,6,0.2,0.4
GGOEGAPB058615, Women's Yoga Jacket Black,5,6,6,0.2,0.4
GGOEGALJ034414, Women's Vintage Hero Tee Platinum,34,42,6,0.2,0.4
GGOEGAEB084514,BLM Sweatshirt,1,1,6,0.2,0.4
GGOEGALQ036613, Women's Scoop Neck Tee White,39,59,6,0.5,0.8
GGOEGESB015199, Flashlight,9,13,6,0.7,0.8
GGOEGAEJ028016, Women's Short Sleeve Hero Tee Grey,33,51,6,0.5,0.8
GGOEGAAX0652, Toddler Short Sleeve T-shirt Royal Blue,19,30,6,0.5,0.8
9180759, Lunch Bag,0,0,6,0.5,0.8
GGOEGAAJ057015, Men's Short Sleeve Performance Badge Tee Charcoal,88,137,6,0.5,0.8
GGOEWFKA083099, Mood Happy Window Decal,17,26,6,0.5,0.8
GGOEGAYR068226, Youth Short Sleeve Tee Red,5,7,6,0.5,0.8
GGOEGAAX0297, Women's Short Sleeve Hero Tee Red Heather,11,16,6,0.3,1.1
GGOEAAWJ062549,Android Infant Short Sleeve Tee Pewter,5,8,6,0.7,1.1
GGOEGKWQ060910, Bib White,65,116,6,0.7,1.1
9180756,Windup Android,0,0,6,0.7,1.1
GGOEGAAX0584, Women's Yoga Pants,2,3,6,0.3,0.9
GGOEGAWQ062949, Baby Essentials Set,211,349,6,0.6,0.9
GGOEGAYL068156, Youth Sports Tee Navy,30,48,6,0.6,0.9
GGOEGAAX0106, Men's 100% Cotton Short Sleeve Hero Tee Navy,15,29,6,0.2,0.9
GGOEGAWN062749, Infant Zip Hood Pink,89,147,6,0.6,0.9
GGOEGHPL003214, Stretch Fit Hat M/L Navy,4,6,6,0.6,0.9
GGOEGATH060714, Women's Convertible Vest-Jacket Sea Foam Green,10,19,6,0.8,1.3
9182816, Infant Zip Hood Royal Blue,0,0,6,0.8,1.3
9180762, Tote Bag,0,0,6,0.8,1.3
GGOEGAEJ035313, Vintage Henley Grey/Black,16,30,6,0.8,1.3
GGOEGAAC032113, Men's Short Sleeve Hero Tee Light Blue,9,17,6,0.8,1.3
GGOEYAWJ061450, Onesie Heather,19,37,6,0.9,1.3
GGOEAAEH035213,Android Men's Vintage Henley,10,19,6,0.8,1.3
GGOEGAFB035815, Men's  Zip Hoodie,52,98,6,0.8,1.3
GGOENEBJ079499, Learning Thermostat 3rd Gen-USA - Stainless Steel,1886,2525,7,0.3,0.5
GGOEGEHQ072599, 4400mAh Power Bank,50,65,7,0.4,0.5
GGOEYDHJ056099,22 oz  Bottle Infuser,1465,1944,7,0.3,0.5
GGOEGAEC029117, Women's Short Sleeve Hero Tee Sky Blue,2,2,7,0.3,0.5
9184682, Mobile Phone Vent Mount,0,0,7,0.2,0.5
GGOEGAAX0620, Infant Short Sleeve Tee Green,38,52,7,0.3,0.5
GGOEGETB023799, Power Bank,156,210,7,-0.2,0.5
GGOEGEVB070599, G Noise-reducing Bluetooth Headphones,101,132,7,0.9,0.5
GGOEAAEJ030914,Android Women's Long Sleeve Blended Cardigan Grey,17,29,7,0.6,1.0
GGOEGAEJ035317, Vintage Henley Grey/Black,1,1,7,0.6,1.0
GGOEGAAX0626,Android Infant Short Sleeve Tee Pink,13,21,7,0.6,1.0
GGOEGAEQ027913, Women's Short Sleeve Hero Tee White,38,65,7,0.6,1.0
GGOEGAAX0734, Men's Short Sleeve Hero Tee Heather,1,1,7,0.7,1.0
9182179,Android Women's Short Sleeve Badge Tee Dark Heather,0,0,7,0.7,1.0
GGOEGAXR066029, Toddler Sports T-shirt Red,8,13,7,0.6,1.0
9183205, Zipper-front Sports Bag,0,0,7,0.6,1.0
GGOEGAXJ065729, Toddler 1/4 Zip Fleece Pewter,29,33,7,0.1,0.3
GGOEWAAJ082815, Men's Short Sleeve Tee,5,5,7,0.1,0.3
GGOEGAXR065129, Toddler Short Sleeve Tee Red,11,12,7,0.1,0.3
GGOEGADB057313, Men's Lightweight Microfleece Jacket Black,9,11,7,0.2,0.3
GGOEGAEJ029916, Women's V-Neck Tee Charcoal,4,4,7,0.1,0.3
GGOEGCMB020932,Suitcase Organizer Cubes,295,342,7,0.8,0.3
9182743, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,0,0,7,0.4,0.6
GGOEGALQ036617, Women's Scoop Neck Tee White,7,10,7,0.4,0.6
GGOEGAAX0595, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,5,9,7,-0.5,0.6
GGOEGAAX0685, Youth Short Sleeve T-shirt Yellow,27,38,7,0.4,0.6
GGOEGAAJ073415, Men's Short Sleeve Hero Tee Heather,10,13,7,0.3,0.6
GGOEGAXC065229, Toddler Short Sleeve T-shirt Royal Blue,16,22,7,0.3,0.6
GGOEYAEA035116, Men's Vintage Henley,19,26,7,0.3,0.6
9182705,Android Men's Long & Lean Badge Tee Charcoal,0,0,7,0.8,1.2
9180782,Seat Pack Organizer,0,0,7,0.4,0.7
GGOEGAAJ032613, Men's Short Sleeve Badge Tee Charcoal,32,46,7,0.4,0.7
9183226,Android Luggage Tag,0,0,7,0.4,0.7
GGOEGCBN016899, Pet Feeding Mat,48,69,7,0.8,0.7
GGOEGAAX0733, Women's Short Sleeve Hero Tee Heather,1,1,7,0.1,0.7
GGOEGADB056618,Men's Weatherblock Shell Jacket Black,2,2,7,0.4,0.7
9182383, Men's Watershed Full Zip Hoodie Grey,0,0,7,0.9,1.4
GGOEYAWJ061448, Onesie Heather,19,37,7,0.9,1.4
GGOEGAPB058217, Women's Lightweight Microfleece Jacket,3,3,7,0.0,0.1
9184676,UpCycled Handlebar Bag,0,0,7,0.0,0.1
GGOEYAAQ031715, Men's Short Sleeve Hero Tee White,37,39,7,0.0,0.1
GGOEADWQ015699,Android Rise 14 oz Mug,306,342,7,0.1,0.2
GGOEAAXC066430,Android Toddler Short Sleeve T-shirt Aqua,63,72,7,0.1,0.2
GGOEGAYQ069025, Youth Short Sleeve Tee White,10,11,7,0.1,0.2
GGOEGAAB010513, Men's 100% Cotton Short Sleeve Hero Tee Black,32,35,7,0.1,0.2
GGOEGAYH067926, Youth Girl Tee Green,20,22,7,0.1,0.2
GGOEGFQB013799,Compact Selfie Stick,268,297,7,0.3,0.2
9182769, Women's Short Sleeve Performance Tee Pewter,0,0,7,0.2,0.4
GGOEGAAQ010413, Men's 100% Cotton Short Sleeve Hero Tee White,133,167,7,0.2,0.4
GGOEGAAX0589, Men's Short Sleeve Performance Badge Tee Black,9,15,7,0.0,0.4
9180781,Suitcase Organizer Cubes,0,0,7,0.2,0.4
GGOEGAAX0656, Toddler Hoodie Royal Blue,33,51,7,0.5,0.8
GGOEGAWR061050, Onesie Red/Graphite,4,6,7,0.5,0.8
9182722, Men's 100% Cotton Short Sleeve Hero Tee Navy,0,0,7,0.5,0.8
GGOEAAYC068725,Android Youth Short Sleeve T-shirt Aqua,51,77,7,0.5,0.8
GGOEGAAJ059114, Men's Short Sleeve Performance Badge Tee Pewter,69,107,7,0.5,0.8
GGOEAAAC080917,Android Lifted Men's Short Sleeve Tee Blue,6,9,7,0.5,0.8
9183230, Protect Smoke + CO White Battery Alarm-USA,0,0,7,0.7,1.1
GGOEGALB036517, Women's Scoop Neck Tee Black,13,23,7,0.7,1.1
GGOEGADB056614,Men's Weatherblock Shell Jacket Black,27,44,7,0.6,0.9
9180820, Doodle Decal,0,0,7,0.5,0.9
GGOEGAEC029113, Women's Short Sleeve Hero Tee Sky Blue,15,24,7,0.6,0.9
9183222, Leather Perforated Journal,0,0,7,0.8,1.3
GGOEGAAX0588, Women's Shell Jacket Blue/Black,3,5,7,0.0,1.3
9180769, Laptop Backpack,0,0,7,0.8,1.3
GGOEAAYJ068826,Android Youth Short Sleeve T-shirt Pewter,3,5,7,0.8,1.3
9183196, 4400mAh Power Bank,0,0,7,0.8,1.3
GGOEGAAX0283,Android Women's Short Sleeve Hero Tee Black,7,11,7,0.7,1.8
GGOEGXXX0806, Men's Bike Short Sleeve Tee Charcoal,10,12,7,0.7,1.8
GGOEGAAX0581, Women's Colorblock Tee White,0,0,8,0.8,2.0
GGOEGAAX0596, Men's Quilted Insulated Vest Black,26,32,8,0.8,2.0
9183234, Learning Thermostat 3rd Gen-USA - Stainless Steel,0,0,8,0.2,0.5
GGOEADHH073999,Android 17oz Stainless Steel Sport Bottle,210,283,8,0.3,0.5
GGOEGAAJ032313, Men's Short Sleeve Hero Tee Charcoal,46,61,8,0.3,0.5
GGOEAAAH083317,Android Men's Paradise Short Sleeve Tee Olive,9,11,8,0.2,0.5
GGOEGEVB070899, Bongo Cupholder Bluetooth Speaker,85,115,8,0.0,0.5
GGOEGATB060613, Women's Convertible Vest-Jacket Black,33,44,8,0.3,0.5
9183203, Device Holder Sticky Pad,0,0,8,0.3,0.5
GGOEGAPB058613, Women's Yoga Jacket Black,20,34,8,0.6,1.0
GGOEGHGT019599, Sunglasses,887,376,8,0.5,1.0
9182980, Pet Feeding Mat,0,0,8,0.6,1.0
GGOEGAAX0338, Men's Vintage Badge Tee Black,433,677,8,0.5,1.5
9184681, 17 oz Double Wall Stainless Steel Insulated Bottle,0,0,8,0.1,0.3
GGOEGAFJ036213, Men's Pullover Hoodie Grey,12,14,8,0.1,0.3
GGOEGALJ060116, Women's Short Sleeve Performance Tee Pewter,5,6,8,0.1,0.3
GGOEGAEJ028115, Women's Short Sleeve Badge Tee Grey,11,13,8,0.1,0.3
GGOEGAAB010517, Men's 100% Cotton Short Sleeve Hero Tee Black,36,50,8,0.3,0.6
GGOEAAWN062649,Android Infant Short Sleeve Tee Pink,13,18,8,0.3,0.6
GGOEGAAJ032317, Men's Short Sleeve Hero Tee Charcoal,18,25,8,0.3,0.6
GGOEGADB059614, Men's Quilted Insulated Vest Black,20,27,8,0.3,0.6
GGOEGALP036317, Women's Long Sleeve Tee Lavender,7,9,8,0.3,0.6
GGOEGAWR061154, Onesie Red,27,37,8,0.3,0.6
9180838,Metal Texture Roller Pen,0,0,8,0.4,0.6
GGOEAAAJ031914,Android Men's Short Sleeve Hero Tee Heather,69,126,8,0.7,1.2
GGOEGAFJ036214, Men's Pullover Hoodie Grey,13,24,8,0.8,1.2
9180767, Slim Utility Travel Bag,0,0,8,0.8,1.2
9182785, Women's Lightweight Microfleece Jacket,0,0,8,0.8,1.2
GGOEGETR014599, Tube Power Bank,218,72,8,-0.2,0.7
GGOEGHPB080410, 5-Panel Snapback Cap,151,219,8,0.3,0.7
GGOEAAAB081016,Android Men's Outerstellar Short Sleeve Tee Black,2,2,8,0.4,0.7
GGOEGAAX0781, Leather Journal,119,181,8,0.4,0.7
GGOEGAWQ062953, Baby Essentials Set,231,346,8,0.4,0.7
GGOEGAAX0593, Men's Airflow 1/4 Zip Pullover Lapis,16,23,8,0.0,1.4
GGOEGAXR065128, Toddler Short Sleeve Tee Red,14,27,8,0.9,1.4
GGOEGAAX0350, Men's Bayside Graphic Tee,17,33,8,0.9,1.4
GGOEGALJ036417, Women's Tee Grey,7,13,8,0.9,1.4
GGOEGAAX0627, Infant Zip Hood Pink,18,35,8,0.9,1.4
GGOEGAAX0299, Women's V-Neck Tee Charcoal,51,77,8,0.8,1.9
GGOEWFKA083199, Mood Original Window Decal,63,66,8,0.0,0.1
9180792,20 oz Stainless Steel Insulated Tumbler,0,0,8,0.0,0.2
9182176,Android Women's Short Sleeve Badge Tee Dark Heather,0,0,8,0.1,0.2
GGOEGAEJ030814, Women's Long Sleeve Blended Cardigan Charcoal,34,37,8,0.0,0.2
GGOEGAXR066055, Toddler Sports T-shirt Red,5,5,8,0.1,0.2
GGOEGATH060716, Women's Convertible Vest-Jacket Sea Foam Green,9,11,8,0.2,0.4
GGOEGALB034114, Women's Vintage Hero Tee Black,121,155,8,0.2,0.4
GGOEYAEJ029616, Women's Short Sleeve Tri-blend Badge Tee Grey,3,4,8,0.5,0.8
GGOEYAEJ029017, Women's Short Sleeve Hero Tee Charcoal,3,4,8,0.5,0.8
GGOEGALL074613, Women's Short Sleeve Badge Tee Navy,22,33,8,0.5,0.8
GGOEAAXJ066229,Android Toddler Short Sleeve T-shirt Pewter,3,4,8,0.5,0.8
GGOEGADC059316, Men's Airflow 1/4 Zip Pullover Lapis,4,6,8,0.5,0.8
GGOEGAAX0572, Men's Colorblock Tee White/Heather,1,1,8,0.2,0.8
GGOEGAAJ032616, Men's Short Sleeve Badge Tee Charcoal,31,48,8,0.5,0.8
GGOEGOCT019199,Red Spiral  Notebook,316,43,8,0.7,1.1
9182738, Women's Long Sleeve Blended Cardigan Charcoal,0,0,8,0.7,1.1
GGOEAAAP081214,Android Men's Take Charge Short Sleeve Tee Purple,38,68,8,0.7,1.1
GGOEGAAJ073016, Men's Performance Hero Tee Gunmetal,6,10,8,0.7,1.1
GGOEGOAC021799,Ballpoint Pen Blue,226,400,8,0.7,1.1
GGOEGAWQ062248, Infant Short Sleeve Tee White,4,7,8,0.7,1.1
GGOEAAEJ033415,Android Men's Long Sleeve Badge Crew Tee Heather,51,92,8,0.7,1.1
GGOEGATB060615, Women's Convertible Vest-Jacket Black,16,25,8,0.5,0.9
GGOEGALJ034417, Women's Vintage Hero Tee Platinum,4,6,8,0.6,0.9
GGOEYAEA035117, Men's Vintage Henley,37,59,8,0.5,0.9
GGOEGALP034316, Women's Vintage Hero Tee Lavender,3,4,8,0.5,0.9
9180766,Sport Bag,0,0,8,0.5,0.9
9184675,UpCycled Bike Saddle Bag,0,0,8,0.5,0.9
9180793,26 oz Double Wall Insulated Bottle,0,0,8,0.5,0.9
9182741, Men's Airflow 1/4 Zip Pullover Lapis,0,0,8,0.9,1.3
GGOEGAAR010717, Men's 100% Cotton Short Sleeve Hero Tee Red,15,29,8,0.8,1.3
GGOEAHPB076115,Android Stretch Fit Hat,18,34,8,0.8,1.3
GGOEGAAX0281, Women's Short Sleeve Badge Tee Grey,7,8,8,0.4,1.3
GGOEGCBB074399, Device Holder Sticky Pad,49,94,8,0.1,1.3
GGOEGAAX0107, Men's 100% Cotton Short Sleeve Hero Tee Red,40,72,8,0.7,1.8
GGOEGAAX0607, Women's Convertible Vest-Jacket Sea Foam Green,22,25,8,-0.5,1.8
GGOEGESC014699,Aluminum Handy Emergency Flashlight,66,90,9,0.0,0.5
GGOEGPJC203399,Crunch Noise Dog Toy,262,352,9,0.7,0.5
GGOEGAEA030413, Womens 3/4 Sleeve Baseball Raglan Heather/Black,23,31,9,0.3,0.5
GGOEGAAX0339, Men's Vintage Badge Tee White,137,210,9,0.1,0.5
GGOEGADB059615, Men's Quilted Insulated Vest Black,31,51,9,0.6,1.0
GGOENEBD084799, Learning Thermostat 3rd Gen-USA - Copper,324,564,9,0.7,1.0
GGOEGALB034115, Women's Vintage Hero Tee Black,124,213,9,0.6,1.0
GGOEGAAX0592, Men's Airflow 1/4 Zip Pullover Black,8,8,9,-0.2,1.5
GGOEAOCB077499,Android RFID Journal,73,86,9,0.3,0.3
